Query,Method,Similarity Score (%),Text,Psalm Num,Verse
Create in me a clean heart,TF-IDF + GloVe,16.0,Bible,79,1For the End concerning things that shall be changed a testimony for Asaph a psalm  concerning the Assyrian Give heed O You who shepherd Israel Reveal Yourself O You who lead Joseph like a flock Who sit upon the cherubim Raise up Your power Before Ephraim Benjamin and Manasseh And come for our salvation O God convert us And reveal Your face and we shall be saved O Lord God of hosts How long will You be angry with the prayer of Your servant Will You feed us the bread of tears And will You give us as drink tears in measure You made us an offense to our neighbors And our enemies sneered at us O Lord God convert us And reveal Your face and we shall be saved Pause You removed a vineyard from Egypt You cast out the nations and planted it You prepared the way before it And You planted its roots and the earth was filled Its shade covered the mountains And its vines the cedars of God Its branches reached to the sea And its shoots as far as the river Why did You pull down its hedge And all who pass on the road gather its grapes A wild swine from the forest laid it waste A solitary wild beast devoured it O God of hosts convert us now Look down from heaven and behold And visit this vineyard Which Your right hand planted and perfect it And visit the son of man whom You strengthened for Yourself It was set on fire and uprooted But they shall perish at the rebuke of Your face Let Your hand be upon the man of Your right hand And upon the son of man whom You strengthened for Yourself Then we will not turn away from You You will give us life and we will call upon Your name O Lord God of hosts convert us and reveal Your face and we shall be saved
Create in me a clean heart,TF-IDF + GloVe,13.98,Bible,122,1An ode of ascents Ilift my eyes to You Whodwell in heaven Behold as the eyes of servants look to the hands of their masters As the eyes of the maidservant look to the hands of her mistress So our eyes look to the Lord our God Until He shall have compassion on us Have mercy on us O Lord have mercy on us For we are greatly filled with contempt Our soul is greatly filled with it We are a disgrace to those who prosper And a contempt to the arrogant
Create in me a clean heart,TF-IDF + GloVe,13.46,Bible,56,1For the End corrupt not by David for a pillar inscription when he escaped from the face  of Saul to the cave Have mercy on me O God have mercy on me For my soul trusts in You And in the shadow of Your wings I will hope Until lawlessness shall pass away I will cry out to God most High My God whois my benefactor He sent from heaven and saved me He gave over to disgrace those who trample me down Pause God sent out His mercy and His truth And delivered my soul from the midst of young lions Although troubled I fell asleep As for the sons of men their teeth are a weapon and arrows And their tongue is a sharp dagger Be exalted O God above the heavens And Your glory above all the earth They prepared a trap for my feet And they bowed down my soul They dug a pit before my face But they fell into it Pause My heart is ready O God My heart is ready I will sing and I will sing a psalm Awake my glory Awake harp and lyre I will arise at dawn I will give thanks to You O Lord among the peoples I will sing to You among the Gentiles For Your mercy is magnified to the heavens And Your truth to the clouds Be exalted O God above the heavens And Your glory above all the earth
Create in me a clean heart,TF-IDF + GloVe,13.11,Bible,119,An ode of ascents To the Lord in my affliction I cried out and He heard me O Lord deliver my soul from unjust lips And from a deceitful tongue What should be given You and what added to You Against a deceitful tongue The arrows of the Mighty One are sharpened With hot coals from the desert Woe is me My sojourning was prolonged I dwelt with the tents of Kedar My soul sojourned a long time as a resident alien With those who hate peace I was peaceful When I spoke to them they made war against me without cause
Create in me a clean heart,TF-IDF + GloVe,12.74,Bible,11,For the End concerning the eighth a psalm by David Save me O Lord for the holy man has ceased The truthful are diminished from among the sons of men Each one speaks useless things to his neighbor Deceptive lips speak with a double heart May the Lord destroy all deceptive lips And the tongue that speaks boastful things Saying We will make our tongue powerful Our lips are our own Who is lord over us Because of the suffering of the needy And because of the groaning of the poor Now I will arise says the Lord Iwill establish them in salvation I will declare it boldly The words of the Lord are pure words Like silver fired in a furnace of earth Purified seven times You shall guard us O Lord You shall preserve us from this generation forever The ungodly walk in a circle In Your exaltation You highly exalted the sons of men
Create in me a clean heart,BERT,69.89,Bible,18,For the End a psalm by David The heavens declare the glory of God The firmament shows the creation of His hands Day to day utters speech And night to night reveals knowledge There is no speech nor language Where their voices are not heard Their proclamation went forth into all the earth And their words to the ends of the world In the sun He set His tabernacle And it rejoices exceedingly Like a bridegroom coming forth from his bridal chamber Like a strong man to run a race Its rising is from one end of heaven And its circuit runs to the other end And nothing shall be hidden from its heat The law of the Lord is blameless converting souls The testimony of the Lord is trustworthy making children wise The ordinances of the Lord are right rejoicing the heart The commandment of the Lord is bright enlightening the eyes The fear of the Lord is pure enduring unto ages of ages The judgments of the Lord are true being altogether just More to be desired are they than gold and a very precious stone Sweeter also than honey and the honeycomb For indeed Your servant keeps them In keeping them there is great reward Who will understand his transgressions Cleanse me from hidden sins And spare your servant from unnatural sins If they have no dominion over me then I shall be blameless And I shall be cleansed from great sin Let the words of my mouth and the meditation of my heart Be always pleasing before You O Lord my helper and my redeemer
Create in me a clean heart,BERT,69.06,Psalter,34,"Judge Thou, O Lord, them that do me injustice; fight against them that fight against me. Take hold of weapon and buckler, and rise up for mine help. Draw out the sword, and stop the way against them that persecute me; say unto my soul, I am Thy salvation. Let them be ashamed and confounded that seek after my soul; let them be turned back and put to shame that devise evil against me. Let them become as chaff before the face of the wind, and let the angel of the Lord afflict them. Let their way be dark and slippery, and let the angel of the Lord pursue them. For without cause have they hid for me destruction in their snare; without cause have they reproached my soul. Let a snare come upon him unawares, and let the snare that he hath hid catch himself; and into that very snare let him fall. But my soul shall exult in the Lord; it shall delight in His salvation. All my bones shall say, Lord, O Lord, who is like unto Thee, Which deliverest the poor from the hand of them that are too strong for him, yea, the poor and needy from them that spoil him? Unjust witnesses did rise up; they charged me with things that I knew not. They rewarded me evil for good, and barrenness to my soul. But as for me, when they troubled me, I put on sackcloth, and humbled my soul with fasting; and my prayer shall return into mine own bosom. I sought to please, as though it had been my neighbour or brother; I humbled myself, as one that is mourning and sad of countenance. But they rejoiced against me, and gathered themselves together; plagues were gathered together upon me, and I knew it not. They were scattered, yet they were not pricked at the heart. They tempted me, they scoffed at me with scorn, they gnashed upon me with their teeth. Lord, when wilt Thou look upon me? Rescue my soul from their mischief, mine onlybegotten one from the lions. I will give Thee thanks in the great congregation; I will praise Thee among a mighty people. Let not them that are my enemies wrongfully rejoice over me, they that hate me without a cause, and wink with the eyes. For they spake unto me peaceably indeed, but in their anger they devised deceits. Yea, they opened their mouth wide against me; they said, Aha, aha, our eyes have seen it. This Thou hast seen, O Lord, keep not silence; O Lord, be not far from me. Arise, O Lord, and attend to my judgment, even unto my cause, my God and my Lord. Judge me, O Lord, according to Thy righteousness; let them not rejoice over me, O Lord my God. Let them not say in their hearts, Aha, aha, it is well to our soul; neither let them say, We have swallowed him up. Let them be ashamed and brought to confusion together that rejoice at my woes. Let them be clothed with shame and confusion that speak great words against me. Let them exult and be glad, that favour my righteous cause; yea, let them that desire the peace of Thy servant say continually, Let the Lord be magnified. And my tongue shall speak of Thy righteousness, and of Thy praise all the day long."
Create in me a clean heart,BERT,68.69,Psalter,49,"The God of gods, even the Lord, hath spoken, and called the earth from the rising of the sun unto the going down thereof. Out of Zion is the comeliness of His beauty. God, our God, shall come manifestly, and shall not keep silence. A fire shall burn before Him, and a mighty tempest shall be round about Him. He shall summon the heaven above, and the earth, that He may judge His people. Gather His saints together unto Him, those that have established His covenant upon sacrifices. And the heavens shall declare His righteousness; for God is judge. Hear, O My people, and I will speak to thee, O Israel; and I will testify against thee; I am God, even thy God. I will not reprove thee for sacrifices, for thy whole burntofferings are continually before Me. I will not welcome bullocks out of thy house, nor he goats out of thy flocks. For all the beasts of the field are Mine, the cattle upon the mountains, and the oxen. I know all the fowls of the air, and the beauty of the fields is Mine. If I were hungry, I would not tell thee, for the world is Mine, and the fulness thereof. Will I eat the flesh of bulls, or drink the blood of goats? Offer unto God a sacrifice of praise, and pay thy vows unto the Most High. And call upon me in the day of thy trouble, and I will deliver thee; and thou shalt glorify Me. But unto the sinner God said, Why dost thou declare My statutes, and takest My covenant in thy mouth? Thou hast hated instruction, and hast cast My words behind thee. When thou sawest a thief, then thou didst run with him, and hast been partaker with the adulterer. Thy mouth hath multiplied evil, and thy tongue hath framed deceits. Thou satest and spakest against thy brother, and laidst a scandal against thy mother's son. These things hast thou done, and I kept silence. Thou thoughtest wickedly that I should be like unto thee; but I will reprove thee, and set thy sins before thy face. Now understand this, ye that forget God, lest He snatch you away, and there be none to deliver. A sacrifice of praise shall glorify Me, and there is the way wherein I will shew him My salvation."
Create in me a clean heart,BERT,68.66,Psalter,43,"We have heard with our ears, O God, for our fathers have told us, what work Thou didst in their days, in the days of old. Thine hand didst destroy the heathen, and Thou plantedst them in their stead; Thou didst bring evils upon those peoples, and cast them out. For they got not the land in possession by their own sword, neither did their own arm save them. But Thy right hand, and Thine arm, and the light of Thy countenance, because Thou hadst a favour unto them. Thou art Thyself my King and my God, that commandest the salvation of Jacob. Through Thee shall the horn of our strength push down our enemies, and through Thy name will we bring them to nought that rise up against us. For I will not hope in my bow, neither shall my sword save me. For Thou hast saved us from them that afflict us, and hast put them to shame that hated us. In God shall we boast all the day long, and in Thy name shall we give praise for ever. But now Thou hast cast us off, and put us to shame; and Thou, O God wilt not go forth with our armies. Thou hast made us to turn back before our enemies, and they which hated us spoiled for themselves. Thou hast given us like sheep appointed to be eaten, and hast scattered us among the heathen. Thou hast sold Thy people for nought, and there was no profit in our selling. Thou hast made us a reproach to our neighbours, a scorn and derision to them that are round about us. Thou hast made us a byword among the heathen, a shaking of the head among the peoples. All the day long my disgrace is before me, and the shame of my face hath covered me, For the voice of him that reproacheth and revileth, by reason of the enemy and pursuer. All this is come upon us, yet have we not forgotten Thee, neither have we dealt unrighteously in Thy covenant. And our heart is not turned back, but Thou hast turned aside our paths from Thy ways. For Thou hast humbled us in a place of affliction, and the shadow of death hath covered us. If we have forgotten the name of our God, and if we have stretched out our hands to a strange god, Shall not God search this out? for He knoweth the secrets of the heart. For Thy sake are we killed all the day long; we are counted as sheep for the slaughter. Awake, why sleepest Thou, O Lord? arise, and cast us not off for ever. Wherefore turnest Thou Thy face away? forgettest Thou our poverty and affliction? For our soul is brought down to the dust; our belly hath cleaved unto the earth. Arise, O Lord, help us, and redeem us for Thy name's sake."
Create in me a clean heart,BERT,68.31,Bible,147,Alleluia of Aggeus and Zacharias Praise the Lord O Jerusalem Praise your God O Zion For He strengthens the bars of your gates He blesses your children within you He who grants your borders peace And fills you with the finest of wheat He who sends His teaching to earth Until His word shall run swiftly Giving snow like wool Sprinkling mist like ashes Casting His ice like morsels Who shall withstand His winter He shall send His word and melt them His wind shall blow and the waters shall flow He who declares His word to Jacob His ordinances and judgments to Israel He did not do so with other nations Nor did He show His judgments to them
