Query Category,Query,,,,,Notes
Phrase / Exact Match,Create in me a clean heart,,,,,
Orthodox Serivce Quotes,For the Peace of the world,,,,,
Orthodox Serivce Quotes,"Have mercy on me, O God, have mercy on me. For my soul trusts in Thee, and in the shadow of Thy wings will I hope, until iniquity pass away.",,,,,
Long / Complex,How does the psalmist express trust in God while surrounded by fear and uncertainty?,,,,,
Short Keyword,mercy,,,,,
Thematic / Semantic,praise in times of suffering,,,,,
Short Keyword,prayer,,,,,
Thematic / Semantic,protection from enemies,,,,,
Orthodox Serivce Quotes,"Rejoice, O ye heavens, sound the trumpets, ye foundation of the earth, thunder forth gladness, O ye mountains: for behold, Emmanuel to the Cross our sins, and the Giver of Life hath slain death, raising up Adam; for He loveth mankind.",,,,,
Phrase / Exact Match,The Lord is my shepherd,,,,,
Long / Complex,Verses where the psalmist remembers past deliverance and uses it to find hope in present trials.,,,,,
Orthodox Serivce Quotes,"Lord, now lettest thou thy servant depart in peace, according to thy word: for mine eyes have seen thy salvation, which thou hast prepared before the face of all people; a light to lighten the Gentiles, and the glory of thy people Isreal. ",,,,,St. Simeon's Prayer
Orthodox Serivce Quotes,"O Lord God of my salvation, I have cried day and night before thee: let my prayer come before thee: incline thine ear unto my cry.",,,,,
Orthodox Serivce Quotes,"God is the Lord, which has shewed us light. Blessed is he that cometh in the name of the Lord",,,,,
Orthodox Serivce Quotes,"When the stone had been sealed by the Jews; while the soldiers were guarding Thy most pure Body; Thou didst rise on the third day, O Savior, granting life to the world. The powers of heaven therefore cried to Thee, O Giver of Life: Glory to Thy Resurrection, O Christ! Glory to Thy Kingdom! Glory to Thy dispensation, O Thou who lovest mankind.",,,,,
Orthodox Serivce Quotes,"The Choir of the Saints have found the fountain of life and the door of pardice. May I also find the right way through repentence, I am a lost sheep. Call me, O Savior, and save me. ",,,,,Funeral Service
Orthodox Serivce Quotes,"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",,,,,Marriage Service
