Query Category,Query,Notes
Phrase / Exact Match,Create in me a clean heart,
Orthodox Serivce Quotes,For the Peace of the world,
Orthodox Serivce Quotes,"Have mercy on me, O God, have mercy on me. For my soul trusts in Thee, and in the shadow of Thy wings will I hope, until iniquity pass away.",
Long / Complex,How does the psalmist express trust in God while surrounded by fear and uncertainty?,
Short Keyword,mercy,
Thematic / Semantic,praise in times of suffering,
Short Keyword,prayer,
Thematic / Semantic,protection from enemies,
Orthodox Serivce Quotes,"Rejoice, O ye heavens, sound the trumpets, ye foundation of the earth, thunder forth gladness, O ye mountains: for behold, Emmanuel to the Cross our sins, and the Giver of Life hath slain death, raising up Adam; for He loveth mankind.",
Phrase / Exact Match,The Lord is my shepherd,
Long / Complex,Verses where the psalmist remembers past deliverance and uses it to find hope in present trials.,
Orthodox Serivce Quotes,"Lord, now lettest thou thy servant depart in peace, according to thy word: for mine eyes have seen thy salvation, which thou hast prepared before the face of all people; a light to lighten the Gentiles, and the glory of thy people Isreal. ",St. Simeon's Prayer
Orthodox Serivce Quotes,"O Lord God of my salvation, I have cried day and night before thee: let my prayer come before thee: incline thine ear unto my cry.",
Orthodox Serivce Quotes,"God is the Lord, which has shewed us light. Blessed is he that cometh in the name of the Lord",
Orthodox Serivce Quotes,"When the stone had been sealed by the Jews; while the soldiers were guarding Thy most pure Body; Thou didst rise on the third day, O Savior, granting life to the world. The powers of heaven therefore cried to Thee, O Giver of Life: Glory to Thy Resurrection, O Christ! Glory to Thy Kingdom! Glory to Thy dispensation, O Thou who lovest mankind.",
Orthodox Serivce Quotes,"The Choir of the Saints have found the fountain of life and the door of pardice. May I also find the right way through repentence, I am a lost sheep. Call me, O Savior, and save me. ",Funeral Service
Orthodox Serivce Quotes,"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",Marriage Service
Short Keyword,Forgivness,
Short Keyword,Love,
Short Keyword,Belief ,
Short Keyword,Transgression,
Phrase / Exact Match,Love for Mankind,
Long / Complex,“Psalms that contrast human mortality with divine eternity and reflect on the fleeting nature of life”,
Long / Complex,“Which psalms use parallelism heavily to emphasize moral contrast between the righteous and the wicked?”,
Long / Complex,“Compare psalms that emphasize divine wrath versus psalms that emphasize divine mercy and forgiveness”,
Long / Complex,Psalms containing repeated rhetorical questions directed at God during moments of suffering,
Long / Complex,"Find psalms describing repentance after sin, especially where the psalmist acknowledges guilt and asks for inner spiritual cleansing",
Long / Complex,“Find psalms that include both crying out for help and later declaring confidence in God’s justice”,
Long / Complex,“Psalms that express deep lament and trust in God simultaneously during periods of persecution and feeling abandoned”,
Thematic / Semantic,"Psalms that express a transition from deep personal lament and feelings of abandonment to renewed trust and praise, especially where the emotional shift is explicit within the same psalm",
Thematic / Semantic,"Find psalms that describe God as a refuge and protector in the context of enemies, oppression, or danger, emphasizing both emotional dependence and divine justice",
Thematic / Semantic,"Which psalms focus on repentance and moral failure, where the psalmist confesses sin, acknowledges personal guilt, and pleads for inner spiritual renewal and cleansing",
Thematic / Semantic,"Psalms that reflect on human mortality and the fragility of life in contrast with the eternal nature of God, including meditations on time, death, and divine permanence",
Thematic / Semantic,"Identify psalms that combine themes of suffering, injustice, and confusion about God’s presence, yet still conclude with declarations of hope, faith, or trust in divine deliverance",
Thematic / Semantic, Psalms that move from lament and despair to praise and renewed trust in God within the same psalm,
Thematic / Semantic,"Psalms describing God as a refuge and protector during times of danger, oppression, or attack",
Phrase / Exact Match,Attend to my supplication,
Phrase / Exact Match,Harken unto my prayer,
Phrase / Exact Match,For His mercy endureth forever,
Phrase / Exact Match,Lord I have cried unto thee,
Phrase / Exact Match,Have Mercy on me,
Phrase / Exact Match,God with with us,
Phrase / Exact Match,The Lord is my helper; I will not fear what man shall do unto me.,
Short Keyword,Deliverance ,
Short Keyword,Refuge ,
Short Keyword,creation,
Short Keyword,law,
Orthodox Serivce Quotes,"Blessed is God, who illuminate and sanctifieth every man that cometh into the world: now and ever, and unto ages of ages. ",Baptism Service
Long / Complex,"Identify psalms that celebrate God's sovereignty over creation while connecting natural imagery—such as mountains, seas, storms, and the heavens—to themes of worship, divine power, and human dependence on God.",
Thematic / Semantic,"Find psalms that portray God as both a righteous judge and a compassionate shepherd, emphasizing how divine guidance, discipline, and mercy shape the life of the faithful believer.",
